Decisao;Tipo
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado lho representado(a) por anonimizado  em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 34/38, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'pedido de Vaga Hospitalar e ficha/boletim médico' anexados com a exordial.;1
"ISSO POSTO, conheço dos EMBARGOS DE DECLARAÇÃO opostos pela parte Ré, pois tempestivos, contudo, REJEITO-OS, visto que não há na decisão prolatada vícios a serem sanados por este Juízo. No mais, e em adendo ao dispositivo da sentença à p. 106 fica consignado que a lide fora deduzida ""em desfavor do Município de Campo Grande/MS e Estado de Mato Grosso do Sul"" o que por lapso involuntário fora olvidado na decisão.";0
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado ruz em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 31/34, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial - 'ginecologia cirúrgica'.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado tista representado(a) por anonimizado  em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 53/57, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
ISSO POSTO, JULGO PARCIALMENTE PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado  representado(a) por anonimizado ilva contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho M independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado  representado(a) por anonimizado Seixas em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 22/26, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado ro representado(a) por anonimizado  contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 03 unidades por dia 90 fraldas mensais, tamanho M independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado  representado(a) por anonimizado m desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 55/58, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado fo em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 29/32, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial - 'em cirurgia ortopédica - coluna'.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado a representado(a) por anonimizado ndes contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas. Por fim, ciência à parte autora, pp. 54/58.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado ira representado(a) por anonimizado reira em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 20/24, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado   representado(a) por anonimizado cente em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 22/26, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado ouza representado(a) por anonimizado esfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 17/21, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado ira Miguelão da    em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 21/24, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial - 'consulta com médico especialista em Urologia - Ginecologia'. No mais, ciência ao Autor, pp. 40/44.;1
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado za da    em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 25/28, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial - 'consulta com especialista em cirurgia bariátrica'.;1
ISSO POSTO, com base nos art. 51, II, da Lei nº 9.099/95, JULGA-SE EXTINTA, sem resolução do mérito, a presente Ação que Adeline Maria de   propôs contra Estado de Mato Grosso do Sul, já qualificados, sem resolução de mérito.;0
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado ilva representado(a) por anonimizado ndes contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho XG independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado es representado(a) por anonimizado nandes em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 17/21, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado , representado(a) por anonimizado mero Gama, em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 42/45, como consignado no bojo da decisão, compelindo-se a parte Ré, então, a disponibilizar à parte autora a suplementação alimentar pugnada, podendo ser de outras marcas que não aquelas delineadas na petição inicial, desde que atenda às especificações de fórmula e densidade calórica e insumos respectivos (frascos e equipos), limitando-se à quantidade requerida na exordial (30 l, 40 frascos e 40 equipos/mês p. 10, item 'd'), bem como para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses.;1
3. ISSO POSTO, com base nos art. 51, II, da Lei nº 9.099/95, JULGA-SE EXTINTA, sem resolução do mérito, a presente ação que anonimizado propôs em desfavor de Estado de Mato Grosso do Sul e Município de Campo Grande/MS, já qualificados.;0
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado liveira representado(a) por anonimizado az em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 20/24, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado resentado(a) por anonimizado em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 20/24, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
ISSO POSTO, JULGO PARCIALMENTE PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado pifanio dos   representado(a) por anonimizado lva dos   contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
3. ISSO POSTO, conheço dos EMBARGOS DE DECLARAÇÃO opostos pela parte Autora, pois tempestivos, contudo, REJEITO-OS, visto que não há na decisão prolatada vícios a serem sanados por este Juízo.;0
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado favor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 34/37, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial - 'consulta em oftalmologia retina geral'.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado s representado(a) por anonimizado renço em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 21/25, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado tins representado(a) por anonimizado    Filho contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado sentado(a) por anonimizado contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado es representado(a) por anonimizado ira em desfavor do Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 25/29, como consignado no bojo da decisão e que compeliu a parte Ré a providenciar a transferência da parte autora/paciente a um Hospital que possibilitasse o tratamento de sua patologia, inclusive com o custeio em estabelecimento privado, caso não houvesse vaga na rede pública de saúde, nos termos do 'Boletim Médico para Solicitação de Vaga Hospitalar' anexado a exordial.;1
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado s Ferreira em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 25/27, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial - 'neurocirurgia geral'.;1
3. ISSO POSTO, JULGO PARCIALMENTE PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado  Carneiro, representado por sua genitora, em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 51/53 e decisão de pp. 70/72, como consignado no bojo da decisão, compelindo-se a parte Ré, então, a disponibilizar à parte autora a suplementação alimentar pugnada, podendo ser de outras marcas que não aquelas delineadas na petição inicial, desde que atenda às especificações de fórmula e densidade calórica, limitando-se à quantidade requerida na exordial (item 'c' p. 10), bem como para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 03 unidades por dia 90 fraldas mensais, tamanho XXG independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado lva representado pelo(a) filho(a) anonimizado O DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 10 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
3. ISSO POSTO, com base nos art. 51, II, da Lei nº 9.099/95, JULGA-SE EXTINTA, sem resolução do mérito, a presente Ação deduzida por anonimizado raes em desfavor do Estado do Mato Grosso do Sul, já qualificados.;0
ISSO POSTO, conheço dos EMBARGOS DE DECLARAÇÃO opostos pela parte Ré, pois tempestivos, contudo, REJEITO-OS, visto que não há na decisão prolatada vícios a serem sanados por este Juízo. No mais, com efeito, à vista do depósito efetuado pelo Estado de MS, conforme se denota às pp. 222/225, para fins de suprir parte do tratamento em debate (leite ninho e farinha láctea, p. 223), expeça-se alvará da quantia depositada em favor da parte Autora, como já requerido à p. 242, devendo a mesma ser intimada de que deverá comprovar a realização das despesas aprovadas, no prazo de 30 (trinta) dias, sob pena de devolução do valor recebido e vedação de novo pedido de numerário com base no título.;0
ISSO POSTO, JULGO PARCIALMENTE PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado epresentado(a) por Fernanda dos     contra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, juvenil tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 06 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado lva, representada por anonimizado ra o MUNICÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponibilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 03 unidades por dia 90 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 10 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas. Por fim, devolva-se o valor depositado aos autos às pp. 59/61 ao depositante Estado de MS, inclusive pois o mesmo nem é parte na lide, sendo no início da lide erroneamente citado pelo Cartório para integrar o feito (p. 44). Assim, informe o Estado de MS os seus dados bancários e posteriomente expeça-se o respectivo alvará via Ted/Doc.;1
ISSO POSTO, JULGO PARCIALMENTE PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado representado pelo(a) filho(a) anonimizado AMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 03 unidades por dia 90 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 10 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
3. ISSO POSTO, JULGO PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado em desfavor de Município de Campo Grande/MS, já qualificados, para o fim de ratificar a tutela de pp. 27/29, como consignado no bojo da decisão e que compeliu a parte Ré a disponibilizar à parte autora a consulta declinada na exordial cirurgia geral - adulto.;1
ISSO POSTO, JULGO PARCIALMENTE PROCEDENTE a pretensão desta AÇÃO DE OBRIGAÇÃO DE FAZER deduzida por anonimizado erme representado pelo(a) filho(a) anonimizado ntra o MUNCÍPIO DE CAMPO GRANDE/MS, já qualificados, para o fim de determinar à parte demandada disponilize à parte autora as fraldas descartáveis pugnadas exordial, com limitação de 04 unidades por dia 120 fraldas mensais, tamanho G independente de marca ou do fabricante, desde que atendendo a sua finalidade, pelo período prescrito pelo médico, cabendo, entretanto, em se tratando de utilização recorrente e contínuo a parte apresentar receituário médico atualizado, com a solicitação do produto e quantidade a cada 10 meses. No mais, ratifica-se a decisão de tutela antecipada quanto a obrigação da parte demandada no fornecimento das aludidas fraldas.;1
